开始节点,关系,结束节点,text
P1.0-P1.7,连接,k1-k8,P1.0 - P1.7 引脚分别与按键 k1 - k8 相连，用于传输按键状态信号。
上拉电阻,连接,独立式键盘,上拉电阻与独立式键盘相连，保证按键未按下时 I/O 口线为高电平。
单片机,连接,独立式键盘,单片机与独立式键盘相连，用于检测按键状态并进行相应处理。
独立式键盘,包含,按键,独立式键盘由多个按键组成，如 k1 - k8、k1 - k4 等。
查询方式,相关,独立式键盘,采用查询方式对独立式键盘进行扫描，检测按键状态。
按键,连接,P1口,按键 k1 - k8 接在 P1.0 - P1.7 引脚上，k1 - k4 接在 P1.0 - P1.3 引脚上，通过 P1 口检测按键状态。
LED指示灯,连接,P3口,8 个 LED 指示灯接在 P3 口上，由 P3 口控制其亮灭。
软件延时子程序,相关,独立式键盘,软件延时子程序用于独立式键盘的按键去抖动操作。
Proteus,相关,独立式键盘,利用 Proteus 软件对独立式键盘系统进行虚拟仿真。
虚拟仿真,相关,独立式键盘,通过虚拟仿真来模拟独立式键盘的实际工作情况。
P1口,连接,独立式键盘,P1 口用于连接独立式键盘的按键，检测按键状态。
P1.0,连接,独立式键盘按键,P1.0 引脚与独立式键盘中对应 S1 的按键相连，传输按键状态信号。
P1.1,连接,独立式键盘按键,P1.1 引脚与独立式键盘中对应 S2 的按键相连，传输按键状态信号。
P1.2,连接,独立式键盘按键,P1.2 引脚与独立式键盘中对应 S3 的按键相连，传输按键状态信号。
P1.3,连接,独立式键盘按键,P1.3 引脚与独立式键盘中对应 S4 的按键相连，传输按键状态信号。
LED指示灯,相关,独立式键盘系统,LED 指示灯是独立式键盘系统的一部分，根据按键操作显示不同状态。
正向流水点亮函数,相关,独立式键盘系统,正向流水点亮函数在独立式键盘系统中，当对应按键按下时被调用，控制 LED 指示灯正向流水点亮。
反向流水点亮函数,相关,独立式键盘系统,反向流水点亮函数在独立式键盘系统中，当对应按键按下时被调用，控制 LED 指示灯反向流水点亮。
高、低4位交替点亮函数,相关,独立式键盘系统,高、低 4 位交替点亮函数在独立式键盘系统中，当对应按键按下时被调用，控制 LED 指示灯高、低 4 位交替点亮。
闪烁点亮函数,相关,独立式键盘系统,闪烁点亮函数在独立式键盘系统中，当对应按键按下时被调用，控制 LED 指示灯闪烁点亮。
流水灯显示延时函数,相关,独立式键盘系统,流水灯显示延时函数在独立式键盘系统中，用于控制流水灯显示的时间间隔。
S1,连接,P1.0,S1 位变量与 P1.0 引脚相连，用于检测对应按键状态。
S3,连接,P1.2,S3 位变量与 P1.2 引脚相连，用于检测对应按键状态。
S4,连接,P1.3,S4 位变量与 P1.3 引脚相连，用于检测对应按键状态。
IP,相关,INT0,用于设置 INT0 的中断优先级。
INT0,相关,独立式键盘,采用中断扫描方式时，INT0 用于响应独立式键盘的按键中断。
IE,相关,INT0,用于控制 INT0 中断的允许和禁止。
INT0,相关,单片机,INT0 是单片机的外部中断源，用于响应独立式键盘按键中断请求。
P1口,连接,矩阵式键盘,P1 口与矩阵式键盘的行线和列线相连，用于传输按键状态信号。
P0口,连接,数码管,P0 口用于控制数码管的显示，输出段码。
数码管,相关,矩阵式键盘,数码管用于显示矩阵式键盘按键对应的键号。
共阳极数码管,类型,数码管,共阳极数码管是数码管的一种类型，通过 P0 口控制显示。
查询扫描,类型,键盘扫描的工作方式,查询扫描是键盘扫描工作方式的一种，利用单片机空闲时扫描键盘。
定时扫描,类型,键盘扫描的工作方式,定时扫描是键盘扫描工作方式的一种，利用定时器中断定时扫描键盘。
中断扫描,类型,键盘扫描的工作方式,中断扫描是键盘扫描工作方式的一种，键盘有按键按下时触发中断进行扫描。
专用键盘/显示器芯片,相关,单片机,专用键盘 / 显示器芯片与单片机连接，简化键盘 / 显示器控制操作。
HD7279,类型,专用键盘/显示器芯片,HD7279 是一种专用键盘 / 显示器接口芯片，与单片机串行连接。
8279,类型,专用键盘/显示器芯片,8279 是早期流行的并行接口专用键盘 / 显示器芯片。
CH451,类型,专用键盘/显示器芯片,CH451 是常见的专用键盘 / 显示器接口芯片，与单片机接口多采用串行连接。
ZLG7289A,类型,专用键盘/显示器芯片,ZLG7289A 是常见的专用键盘 / 显示器接口芯片，与单片机接口多采用串行连接。
HD7279A,类型,专用键盘/显示器芯片,HD7279A 是 HD7279 系列芯片，能驱动 LED 数码管和管理键盘。
HD7279A,连接,单片机,HD7279A 与单片机采用串行连接，仅占用 4 条口线。
HD7279A,控制,LED数码管,HD7279A 可控制与驱动 8 位 LED 数码管，采用动态扫描循环显示方式。
LED数码管,相关,HD7279A,LED 数码管由 HD7279A 驱动显示，是其控制的显示设备。
LED发光二极管,相关,HD7279A,HD7279A 可驱动 64 个独立的 LED 发光二极管，作为显示或指示元件。
编码键盘,相关,HD7279A,HD7279A 可对编码键盘进行管理，直接获取闭合键的键号。
DIG0-DIG7,连接,LED数码管,DIG0 - DIG7 分别连接 8 只 LED 数码管的共阴极，用于控制数码管的位选。
SA-SG,连接,LED数码管,SA - SG 分别连接至 LED 数码管的 a - g 段的阳极，用于提供段驱动信号。
DP,连接,LED数码管,DP 引脚连至小数点 dp 的阳极，控制小数点的显示。
LED数码管,包含,小数点dp,小数点 dp 是 LED 数码管的一部分，其显示由 HD7279A 控制。
LED数码管,包含,a-g段,a - g 段是 LED 数码管用于显示字符的组成部分，由 HD7279A 驱动。
DATA,相关,单片机,DATA 作为串行数据输入 / 输出端，用于单片机与 HD7279A 之间的数据传输。
DATA,相关,HD7279A,DATA 作为串行数据输入 / 输出端，用于单片机与 HD7279A 之间的数据传输。
CLK,相关,单片机,CLK 为数据串行传送的同步时钟输入端，控制数据在单片机与 HD7279A 之间的传输时序。
CLK,相关,HD7279A,CLK 为数据串行传送的同步时钟输入端，控制数据在单片机与 HD7279A 之间的传输时序。
CS,相关,单片机,CS 作为片选控制端，由单片机控制其电平，以访问 HD7279A 芯片。
CS,相关,HD7279A,CS 作为片选控制端，由单片机控制其电平，以访问 HD7279A 芯片。
KEY,相关,单片机,KEY 用于输出按键按下的信号，单片机通过检测其电平判断是否有键按下。
KEY,相关,HD7279A,KEY 用于输出按键按下的信号，单片机通过检测其电平判断是否有键按下。
RESET,相关,单片机,RESET 为复位端，可由单片机控制或外接复位电路，用于复位 HD7279A。
RESET,相关,HD7279A,RESET 为复位端，可由单片机控制或外接复位电路，用于复位 HD7279A。
RC,连接,HD7279A,RC 引脚用于外接振荡元件，为 HD7279A 提供振荡信号。
控制命令,相关,HD7279A,控制命令用于控制 HD7279A 的各种功能，包括显示、键盘管理等。
纯命令,类型,控制命令,纯命令是 HD7279A 控制命令的一种类型，均为单字节命令。
带数据命令,类型,控制命令,带数据命令是 HD7279A 控制命令的一种类型，由双字节组成。
读键盘命令,类型,控制命令,读键盘命令是 HD7279A 控制命令的一种类型，用于读取矩阵键盘中按下键的键值。
方式0译码显示命令,类型,带数据命令,方式 0 译码显示命令是 HD7279A 带数据命令的一种，用于控制 LED 数码管按特定规则译码显示。
控制命令,包含,方式1译码显示命令,方式 1 译码显示命令是 HD7279A 控制命令的一种，与方式 0 类似但译码规则不同。
控制命令,包含,方式0译码显示命令,方式 0 译码显示命令是 HD7279A 控制命令的一种，用于控制 LED 数码管按特定规则译码显示。
控制命令,包含,不译码显示命令,不译码显示命令是 HD7279A 控制命令的一种，可在指定位上按特定方式显示字符。
控制命令,包含,闪烁控制命令,闪烁控制命令是 HD7279A 控制命令的一种，用于设置数码管的闪烁属性。
控制命令,包含,消隐控制命令,消隐控制命令是 HD7279A 控制命令的一种，用于设置数码管的消隐属性。
控制命令,包含,段点亮命令,段点亮命令是 HD7279A 控制命令的一种，用于点亮数码管中的某一段。
控制命令,包含,段关闭命令,段关闭命令是 HD7279A 控制命令的一种，用于关闭数码管中的某一段。
方式0译码显示命令,相关,位地址,方式 0 译码显示命令中，位地址（a2、a1、a0）用于确定显示数据应送给哪一位数码管。
方式0译码显示命令,相关,显示数据,方式 0 译码显示命令中，显示数据（d3、d2、d1、d0）用于确定数码管显示的内容。
方式0译码显示命令,相关,小数点dp,方式 0 译码显示命令中，通过控制位 dp 确定小数点是否显示。
方式1译码显示命令,相关,位地址,方式 1 译码显示命令中，位地址用于确定显示数据应送给哪一位数码管。
方式1译码显示命令,相关,显示数据,方式 1 译码显示命令中，显示数据用于确定数码管显示的内容，与十六进制相对应。
方式1译码显示命令,相关,小数点dp,方式 1 译码显示命令中，通过控制位确定小数点是否显示。
不译码显示命令,相关,位地址,不译码显示命令中，位地址（a2、a1、a0）用于确定显示的位。
不译码显示命令,相关,显示数据,不译码显示命令中，显示数据（包括 dp 和 A - G）用于确定数码管各段的亮灭。
不译码显示命令,相关,小数点dp,不译码显示命令中，通过显示数据中的 dp 位确定小数点是否熄灭。
闪烁控制命令,相关,d8-d1,闪烁控制命令中，d8 - d1 分别对应 L8 - L1 位数码管，用于设置数码管的闪烁属性。
闪烁控制命令,相关,L1-L8位数码管,闪烁控制命令根据 d8 - d1 的值设置 L1 - L8 位数码管的闪烁状态。
消隐控制命令,相关,d8-d1,消隐控制命令中，d8 - d1 分别对应 L8 - L1 位数码管，用于设置数码管的消隐属性。
消隐控制命令,相关,L1-L8位数码管,消隐控制命令根据 d8 - d1 的值设置 L1 - L8 位数码管的显示或消隐状态。
段点亮命令,相关,d5-d0,段点亮命令中，d5 - d0 的取值（00H - 3FH）用于确定要点亮的数码管段。
段点亮命令,相关,L1-L8位数码管,段点亮命令根据命令设置点亮 L1 - L8 位数码管中的某一段。
段关闭命令,相关,d5-d0,段关闭命令中，d5 - d0 的取值（00H - 3FH）用于确定要关闭的数码管段。
段关闭命令,相关,L1-L8位数码管,段关闭命令根据命令设置关闭 L1 - L8 位数码管中的某一段。
数码管段,相关,LED数码管,数码管段（a - g、dp）是 LED 数码管的组成部分，其亮灭由 HD7279A 的控制命令决定。
HD7279A,相关,读取键值命令,读取键值命令用于从 HD7279A 读出当前按下的键值。
CS,控制,HD7279A,当 CS 置为低电平时，单片机可以访问 HD7279A。
HD7279A,相关,纯命令时序,纯命令时序用于单片机向 HD7279A 发送纯命令，发送 8 个 CLK 脉冲和 8 位命令。
HD7279A,相关,带数据命令时序,带数据命令时序用于单片机向 HD7279A 发送带数据命令，发送 16 个 CLK 脉冲。
HD7279A,相关,读键盘命令时序,读键盘命令时序用于单片机向 HD7279A 发送读键盘命令并获取键值，发送 15 个 CLK 脉冲。
T1-T8,相关,HD7279A时序,T1 - T8 是 HD7279A 时序中的时间参数，需满足一定要求以保证其正常工作。
振荡元件RC,相关,HD7279A时序,选定振荡元件 RC 后需调节延时时间，使 HD7279A 的时序满足要求。
晶体振荡器,相关,HD7279A时序,单片机的晶体振荡器会影响 HD7279A 的运行，需调整 HD7279A 的时序使其运行时间接近最短。
高亮度数码管,类型,数码管,高亮度数码管是数码管的一种，可在 HD7279A 驱动下使用，以提高显示亮度。
超高亮度数码管,类型,数码管,超高亮度数码管是数码管的一种，可在 HD7279A 驱动下使用，以提高显示亮度。
接口电路,连接,AT89S51单片机,接口电路用于连接 AT89S51 单片机和 HD7279A，实现两者之间的通信和控制。
接口电路,连接,HD7279A,接口电路用于连接 AT89S51 单片机和 HD7279A，实现两者之间的通信和控制。
READKEY,相关,HD7279,READKEY 命令用于从 HD7279 读取键盘按键的键值，是获取键盘输入的操作命令。
DECODE0,相关,HD7279,DECODE0 命令是 HD7279 的方式 0 译码命令，用于控制数码管按方式 0 译码显示。
DECODE1,相关,HD7279,DECODE1 命令是 HD7279 的方式 1 译码命令，用于控制数码管按方式 1 译码显示。
UNDECODE,相关,HD7279,UNDECODE 命令是 HD7279 的不译码命令，可在指定位上以不译码方式显示字符。
SEGON,相关,HD7279,SEGON 命令是 HD7279 的段点亮命令，用于点亮数码管的某一段。
SEGOFF,相关,HD7279,SEGOFF 命令是 HD7279 的段关闭命令，用于关闭数码管的某一段。
BLINKCTL,相关,HD7279,BLINKCTL 命令是 HD7279 的闪烁控制命令，用于设置数码管的闪烁属性。
TEST,相关,HD7279,TEST 命令是 HD7279 的测试命令，用于使 LED 全部点亮并闪烁，用于测试目的。
RTL.CYCLE,相关,HD7279,RTL_CYCLE 命令是 HD7279 的循环左移命令，用于控制数码管显示内容的循环左移。
RTR.CYCLE,相关,HD7279,RTR_CYCLE 命令是 HD7279 的循环右移命令，用于控制数码管显示内容的循环右移。
RTL.UNCYL,相关,HD7279,RTL_UNCYL 命令是 HD7279 的左移命令，用于控制数码管显示内容的左移。
RTR.UNCYL,相关,HD7279,RTR_UNCYL 命令是 HD7279 的右移命令，用于控制数码管显示内容的右移。
AT89S51单片机,包含,片内存储器,AT89S51单片机片内集成有一定资源，但在许多情况下，片内存储器与I/O资源及外围器件不能满足需求。
AT89S51单片机,包含,I/O接口,AT89S51单片机片内集成有一定资源，但在许多情况下，片内存储器与I/O资源及外围器件不能满足需求。
系统扩展,包含,外扩存储器,系统扩展包括外扩存储器和I/O接口。
系统扩展,包含,I/O接口,系统扩展包括外扩存储器和I/O接口。
系统扩展,类型,并行扩展,单片机系统扩展按接口连接方式分为并行扩展和串行扩展。
系统扩展,类型,串行扩展,单片机系统扩展按接口连接方式分为并行扩展和串行扩展。
并行扩展,类型,数据存储器扩展,AT89S51单片机系统并行扩展结构主要包括数据存储器扩展、程序存储器扩展和I/O接口的扩展。
并行扩展,类型,程序存储器扩展,AT89S51单片机系统并行扩展结构主要包括数据存储器扩展、程序存储器扩展和I/O接口的扩展。
并行扩展,类型,I/O接口扩展,AT89S51单片机系统并行扩展结构主要包括数据存储器扩展、程序存储器扩展和I/O接口的扩展。
并行扩展,类型,哈佛结构,AT89S51单片机系统并行扩展结构采用哈佛结构，形成两个并行的外部存储器空间，I/O端口与数据存储器采用统一编址方式。
AT89S51单片机,类型,并行总线结构,AT89S51单片机采用并行总线结构。
并行扩展,包含,地址总线,并行扩展需构造系统总线，包括地址总线、数据总线和控制总线。
并行扩展,包含,数据总线,并行扩展需构造系统总线，包括地址总线、数据总线和控制总线。
并行扩展,包含,控制总线,并行扩展需构造系统总线，包括地址总线、数据总线和控制总线。
地址总线,控制,P2口,地址总线由P0口提供低8位、P2口提供高8位，形成16位地址总线，寻址范围达到64KB。
地址总线,控制,P0口,地址总线由P0口提供低8位、P2口提供高8位，形成16位地址总线，寻址范围达到64KB。
数据总线,控制,P0口,数据总线由P0口提供8位。
控制总线,包含,RD,控制总线包括RD、WR、PSEN、ALE等信号，用于控制外部扩展器件的读写等操作。
控制总线,包含,WR,控制总线包括RD、WR、PSEN、ALE等信号，用于控制外部扩展器件的读写等操作。
控制总线,包含,PSEN,控制总线包括RD、WR、PSEN、ALE等信号，用于控制外部扩展器件的读写等操作。
控制总线,包含,ALE,控制总线包括RD、WR、PSEN、ALE等信号，用于控制外部扩展器件的读写等操作。
地址空间分配,包含,线选法,扩展存储器及I/O接口芯片时需进行地址空间分配，常用方法有线选法和译码法。
地址空间分配,包含,译码法,扩展存储器及I/O接口芯片时需进行地址空间分配，常用方法有线选法和译码法。
线选法,控制,高位地址线,线选法利用单片机某一高位地址线作为“片选”控制信号，电路简单，但可寻址芯片数目受限，适用于外扩芯片数目不多的系统。
译码法,控制,译码器,译码法使用译码器对高位地址进行译码，将译码输出作为片选信号，能有效利用存储器空间，适用于多芯片存储器扩展，常用译码器芯片有74LS138、74LS139等。
P0口,控制,数据线,AT89S51的P0口兼作数据线和低8位地址线，需在外部增加地址锁存器，常用的有74LS373、74LS573。
P1口,控制,低8位地址线,AT89S51的P0口兼作数据线和低8位地址线，需在外部增加地址锁存器，常用的有74LS373、74LS574。
74LS373,等价,8D锁存器,74LS373是带有三态门的8D锁存器，有数据输入线D7-D0、数据输出线Q7-Q0、数据输入锁存选通信号G、数据输出允许信号OE。
74LS373,包含,数据输入线D7-D0,74LS373是带有三态门的8D锁存器，有数据输入线D7-D0、数据输出线Q7-Q1、数据输入锁存选通信号G、数据输出允许信号OE。
74LS373,包含,数据输出线Q7-Q1,74LS373是带有三态门的8D锁存器，有数据输入线D7-D0、数据输出线Q7-Q2、数据输入锁存选通信号G、数据输出允许信号OE。
74LS373,包含,数据输入锁存选通信号G,74LS373是带有三态门的8D锁存器，有数据输入线D7-D0、数据输出线Q7-Q3、数据输入锁存选通信号G、数据输出允许信号OE。
74LS373,包含,数据输出允许信号OE,74LS373是带有三态门的8D锁存器，有数据输入线D7-D0、数据输出线Q7-Q4、数据输入锁存选通信号G、数据输出允许信号OE。
74LS573,并列,74LS373,74LS573功能及内部结构与74LS373相同，只是引脚排列不同，其输入D端和输出Q端引脚依次排列在芯片两侧，便于绘制印制电路板。
AT89S51单片机,包含,128BRAM,AT89S51单片机内部有128BRAM，若不能满足需求，需扩展外部数据存储器，常用静态数据存储器（SRAM）芯片，如6116、6264等。
SRAM芯片,包含,双列直插封装,常用SRAM芯片用单一+5V电源供电，双列直插封装，有地址输入线、双向三态数据线、片选信号输入线、读选通信号输入线、写允许信号输入线等引脚。
SRAM芯片,包含,有地址输入线,常用SRAM芯片用单一+6V电源供电，双列直插封装，有地址输入线、双向三态数据线、片选信号输入线、读选通信号输入线、写允许信号输入线等引脚。
SRAM芯片,包含,双向三态数据线,常用SRAM芯片用单一+7V电源供电，双列直插封装，有地址输入线、双向三态数据线、片选信号输入线、读选通信号输入线、写允许信号输入线等引脚。
SRAM芯片,包含,片选信号输入线,常用SRAM芯片用单一+8V电源供电，双列直插封装，有地址输入线、双向三态数据线、片选信号输入线、读选通信号输入线、写允许信号输入线等引脚。
SRAM芯片,包含,读选通信号输入线,常用SRAM芯片用单一+9V电源供电，双列直插封装，有地址输入线、双向三态数据线、片选信号输入线、读选通信号输入线、写允许信号输入线等引脚。
SRAM芯片,包含,写允许信号输入线,常用SRAM芯片用单一+10V电源供电，双列直插封装，有地址输入线、双向三态数据线、片选信号输入线、读选通信号输入线、写允许信号输入线等引脚。
RAM存储器,包含,读出,RAM存储器有读出、写入、维持3种工作方式，由相应控制信号控制。
RAM存储器,包含,写入,RAM存储器有读出、写入、维持4种工作方式，由相应控制信号控制。
RAM存储器,包含,维持,RAM存储器有读出、写入、维持5种工作方式，由相应控制信号控制。
AT89S51单片机,控制,片外RAM,AT89S51单片机对片外RAM的读和写操作时序基本过程相同，读片外RAM时，ALE信号由低变高开始读周期，CPU送地址，ALE下降沿锁存低8位地址，高8位地址锁存在P2口。
片外RAM,相关,控制信号,写片外RAM时，在S4状态写控制信号有效，选通片外RAM，P0口数据写入RAM后，写控制信号变为无效。
数据存储器,控制,地址分配,并行扩展数据存储器设计时，要解决地址分配、数据线和控制信号线连接问题，若读/写速度要求高，还需考虑速度匹配问题。
数据存储器,控制,数据线,并行扩展数据存储器设计时，要解决地址分配、数据线和控制信号线连接问题，若读/写速度要求高，还需考虑速度匹配问题。
数据存储器,控制,控制信号,并行扩展数据存储器设计时，要解决地址分配、数据线和控制信号线连接问题，若读/写速度要求高，还需考虑速度匹配问题。
数据存储器,控制,速度匹配,并行扩展数据存储器设计时，要解决地址分配、数据线和控制信号线连接问题，若读/写速度要求高，还需考虑速度匹配问题。
线选法,控制,外部数据存储器,用线选法或译码法可扩展外部数据存储器，如用线选法扩展3片6264，用译码法扩展4片62128，各有相应的存储空间分配。
译码法,控制,外部数据存储器,用线选法或译码法可扩展外部数据存储器，如用线选法扩展3片6264，用译码法扩展4片62129，各有相应的存储空间分配。
可编写程序,控制,片外数据存储器,可编写程序对片外数据存储器进行操作，如将片外数据存储器中指定单元清零。
外部扩展,控制,RAM6264,单片机外部可扩展1片RAM6264，先向其0x0000地址写入64字节数据，再反向复制到0x0080地址开始处，数据可通过P1口的LED显示，操作完成后点亮D1。
AT89S5x系列单片机,包含,FlashROM,AT89S5x系列单片机片内集成有不同容量的FlashROM作为程序存储器，若片内FlashROM满足要求，可省去外部程序存储器扩展工作。
FlashROM,等价,程序存储器,AT89S6x系列单片机片内集成有不同容量的FlashROM作为程序存储器，若片内FlashROM满足要求，可省去外部程序存储器扩展工作。
AT89S51,包含,片内Flash存储器,AT89S51单片机片内4KBFlash存储器可循环写入/擦除1000次，数据保存时间为10年，具有3级加密保护。
片内Flash存储器,控制,通用编程器,对片内Flash存储器编程有使用通用编程器编程和PC通过下载线进行在线编程（ISP）两种常用方法。
片内Flash存储器,控制,下载线,对片内Flash存储器编程有使用通用编程器编程和PC通过下载线进行在线编程（ISP）两种常用方法。
编程器,包含,串行口,使用通用编程器编程时，编程器通过串行口或USB口与PC相连，运行驱动软件选择单片机型号，调入程序代码文件执行写入命令。
编程器,包含,USB口,使用通用编程器编程时，编程器通过串行口或USB口与PC相连，运行驱动软件选择单片机型号，调入程序代码文件执行写入命令。
ISP下载线,包含,串口型,ISP下载线按与PC连接方式分为串口型、并口型以及USB型，购买USB接口ISP下载线时已配置驱动软件，使用时按说明书操作。
ISP下载线,包含,并口型,ISP下载线按与PC连接方式分为串口型、并口型以及USB型，购买USB接口ISP下载线时已配置驱动软件，使用时按说明书操作。
ISP下载线,包含,USB型,ISP下载线按与PC连接方式分为串口型、并口型以及USB型，购买USB接口ISP下载线时已配置驱动软件，使用时按说明书操作。
断电数据保护,包含,E²PROM,在智能仪器仪表、工业监控等应用系统中，断电数据保护可采用E²PROM，它能在线擦除和改写，与Flash存储器有区别，并行E²PROM速度快、容量大。
E²PROM,并列,Flash存储器,在智能仪器仪表、工业监控等应用系统中，断电数据保护可采用E²PROM，它能在线擦除和改写，与Flash存储器有区别，并行E131PROM速度快、容量大。
E²PROM,包含,2816/2816A,常见的并行E²PROM芯片有2816/2816A、2817/2817A、2864A等。
E131PROM,包含,2817/2817A,常见的并行E²PROM芯片有2816/2816A、2817/2817A、2865A等。
E132PROM,包含,2864A,常见的并行E²PROM芯片有2816/2816A、2817/2817A、2866A等。
I/O口,包含,P1口,AT89S51本身4个并行I/O口中真正用作通用I/O口线的只有P1口和P3口的某些位线，I/O口不够用时需进行外部扩展。
I/O口,包含,P3口,AT89S51本身4个并行I/O口中真正用作通用I/O口线的只有P1口和P4口的某些位线，I/O口不够用时需进行外部扩展。
I/O接口,控制,速度匹配,I/O接口作为单片机与外设交换信息的桥梁，应满足实现和不同外设的速度匹配、输出数据锁存、输入数据三态缓冲等功能要求。
I/O接口,控制,输出数据锁存,I/O接口作为单片机与外设交换信息的桥梁，应满足实现和不同外设的速度匹配、输出数据锁存、输入数据三态缓冲等功能要求。
I/O接口,控制,输入数据,I/O接口作为单片机与外设交换信息的桥梁，应满足实现和不同外设的速度匹配、输出数据锁存、输入数据三态缓冲等功能要求。
I/O端口编址,类型,独立编址,I/O端口编址有独立编址和统一编址两种方式，AT89S51单片机使用统一编址方式，把I/O端口与数据存储器单元同等对待。
I/O端口编址,类型,统一编址,I/O端口编址有独立编址和统一编址两种方式，AT89S52单片机使用统一编址方式，把I/O端口与数据存储器单元同等对待。
I/O数据传送方式,类型,同步传送,I/O数据传送方式有同步传送、异步传送和中断传送，同步传送用于外设与单片机速度比拟时，异步传送是查询传送，中断传送可提高单片机工作效率。
I/O数据传送方式,类型,异步传送,I/O数据传送方式有同步传送、异步传送和中断传送，同步传送用于外设与单片机速度比拟时，异步传送是查询传送，中断传送可提高单片机工作效率。
I/O数据传送方式,类型,中断传送,I/O数据传送方式有同步传送、异步传送和中断传送，同步传送用于外设与单片机速度比拟时，异步传送是查询传送，中断传送可提高单片机工作效率。
82C55,包含,I/O接口,82C55是常用的可编程并行I/O接口芯片，具有3个8位并行I/O口，3种工作方式，可通过编程改变功能。
82C55,包含,三态双向数据线D7-D0,82C55有三态双向数据线D7-D0、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
82C55,包含,片选信号线CS,82C55有三态双向数据线D7-D1、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
82C55,包含,读信号线RD,82C55有三态双向数据线D7-D2、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
82C55,包含,写信号线WR,82C55有三态双向数据线D7-D3、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
82C55,包含,PA,82C55有三态双向数据线D7-D4、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
82C55,包含,PB,82C55有三态双向数据线D7-D5、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
82C55,包含,PC,82C55有三态双向数据线D7-D6、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
82C55,包含,A组控制电路,82C55有三态双向数据线D7-D7、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
82C55,包含,B组控制电路,82C55有三态双向数据线D7-D8、片选信号线CS、读信号线RD、写信号线WR等引脚，内部有端口PA、PB、PC，A组和B组控制电路等部件。
AT89S51,赋值,82C55控制寄存器,AT89S51单片机可向82C55控制寄存器写入工作方式选择控制字和端口PC置位/复位控制字，以设置82C55的工作方式和PC口状态。
82C55工作方式,类型,方式0,82C55的工作方式有方式0（基本输入/输出）、方式1（应答输入/输出）、方式2（双向传送，仅PA口有），方式0下可无条件传送数据，3个端口可软件设置为输入或输出。
82C56工作方式,类型,方式1,82C55的工作方式有方式0（基本输入/输出）、方式1（应答输入/输出）、方式2（双向传送，仅PA口有），方式0下可无条件传送数据，4个端口可软件设置为输入或输出。
82C57工作方式,类型,方式2,82C55的工作方式有方式0（基本输入/输出）、方式1（应答输入/输出）、方式2（双向传送，仅PA口有），方式0下可无条件传送数据，5个端口可软件设置为输入或输出。
82C55方式1,包含,有选通信号STB,82C55方式1输入时，有选通信号STB、输出应答线IBFA、中断请求信号INTR等应答联络信号，数据传送有相应的工作过程。
82C55方式1,包含,输出应答线IBFA,82C55方式1输入时，有选通信号STB、输出应答线IBFA、中断请求信号INTR等应答联络信号，数据传送有相应的工作过程。
82C55方式1,包含,中断请求信号INTR,82C55方式1输入时，有选通信号STB、输出应答线IBFA、中断请求信号INTR等应答联络信号，数据传送有相应的工作过程。
82C55方式1,包含,有端口输出缓冲器满信号OBF,82C55方式1输出时，有端口输出缓冲器满信号OBF、外设的应答信号ACK、中断请求信号INTR等应答联络信号，数据传送有相应的工作过程。
82C55方式1,包含,外设的应答信号ACK,82C55方式1输出时，有端口输出缓冲器满信号OBF、外设的应答信号ACK、中断请求信号INTR等应答联络信号，数据传送有相应的工作过程。
82C55方式1,包含,中断请求信号INTR,82C55方式1输出时，有端口输出缓冲器满信号OBF、外设的应答信号ACK、中断请求信号INTR等应答联络信号，数据传送有相应的工作过程。
82C55方式2,等价,方式1输入,82C55方式2适用于像键盘、显示器一类的外设，是方式1输入和方式1输出的组合，只有PA口能设定为方式2。
82C55方式2,等价,方式1输出,82C55方式2适用于像键盘、显示器一类的外设，是方式1输入和方式1输出的组合，只有PA口能设定为方式3。
硬件接口电路,控制,地址锁存器,AT89S51单片机扩展82C55时，硬件接口电路涉及地址锁存器、地址线、控制线和数据线的连接，要确定82C55端口地址，软件编程需根据外设类型选择操作方式并写入控制字。
硬件接口电路,控制,地址线,AT89S51单片机扩展82C55时，硬件接口电路涉及地址锁存器、地址线、控制线和数据线的连接，要确定82C56端口地址，软件编程需根据外设类型选择操作方式并写入控制字。
硬件接口电路,控制,控制线,AT89S51单片机扩展82C55时，硬件接口电路涉及地址锁存器、地址线、控制线和数据线的连接，要确定82C57端口地址，软件编程需根据外设类型选择操作方式并写入控制字。
硬件接口电路,控制,数据线,AT89S51单片机扩展82C55时，硬件接口电路涉及地址锁存器、地址线、控制线和数据线的连接，要确定82C58端口地址，软件编程需根据外设类型选择操作方式并写入控制字。
